id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan,avg_loan_amnt,loan_frequency
2925801,2024-02-13 05:32:29.438,-3,-3.0,51,204446666.0,-3.0
2925802,2024-02-13 05:32:53.811,1,-3.0,-3,-1.0,-1.0
2925803,2024-02-13 05:32:56.344,-3,-1.0,-3,-1.0,-1.0
2925804,2024-02-13 05:32:57.149,-3,-1.0,-3,-1.0,-1.0
2925805,2024-02-13 05:33:02.749,-3,-1.0,-3,-1.0,-1.0
2925806,2024-02-13 05:32:53.811,1,-3.0,-3,-1.0,-1.0
2925807,2024-02-13 05:33:08.175,-3,-1.0,-3,-1.0,-1.0
2925808,2024-02-13 05:32:56.344,-3,-1.0,-3,-1.0,-1.0
2925809,2024-02-13 05:33:13.711,-3,-1.0,-3,-1.0,-1.0
2925810,2024-02-13 05:33:31.707,1,-3.0,-3,-1.0,-1.0
2925811,2024-02-13 05:33:37.831,-3,-1.0,-3,-1.0,-1.0
2925812,2024-02-13 05:33:31.707,1,-3.0,-3,-1.0,-1.0
2925813,2024-02-13 05:33:37.831,-3,-1.0,-3,-1.0,-1.0
2925814,2024-02-13 05:34:07.378,-3,-1.0,-3,-1.0,-1.0
2925815,2024-02-13 05:34:16.822,-3,-1.0,-3,-1.0,-1.0
2925816,2024-02-13 05:34:47.759,-3,-1.0,-3,-1.0,-1.0
2925817,2024-02-13 05:34:48.761,1,1121317.0,70,1121317.0,-3.0
2925818,2024-02-13 05:34:53.499,-3,-1.0,-3,-1.0,-1.0
2925819,2024-02-13 05:34:58.129,-3,-1.0,-3,-1.0,-1.0
2925820,2024-02-13 05:34:48.761,1,1121317.0,70,1121317.0,-3.0
2925821,2024-02-13 05:35:04.155,-3,-1.0,-3,-1.0,-1.0
2925822,2024-02-13 05:35:04.664,-3,-1.0,-3,-1.0,-1.0
2925823,2024-02-13 05:34:58.129,-3,-1.0,-3,-1.0,-1.0
2925824,2024-02-13 05:35:15.098,-3,-1.0,-3,-1.0,-1.0
2925825,2024-02-13 05:35:28.151,-3,-1.0,-3,-1.0,-1.0
2925826,2024-02-13 05:35:28.167,-3,-1.0,-3,-1.0,-1.0
2925827,2024-02-13 05:35:28.775,1,1121317.0,70,1121317.0,-3.0
2925828,2024-02-13 05:35:29.548,-3,-1.0,-3,-1.0,-1.0
2925829,2024-02-13 05:35:32.271,-3,-1.0,-3,-1.0,-1.0
2925830,2024-02-13 05:35:28.775,1,1121317.0,70,1121317.0,-3.0
2925831,2024-02-13 05:35:39.248,-3,-1.0,-3,-1.0,-1.0
2925832,2024-02-13 05:35:29.548,-3,-1.0,-3,-1.0,-1.0
2925833,2024-02-13 05:35:43.149,-3,-1.0,-3,-1.0,-1.0
2925834,2024-02-13 05:35:39.248,-3,-1.0,-3,-1.0,-1.0
2925835,2024-02-13 05:35:54.350,-3,-1.0,-3,-1.0,-1.0
2925836,2024-02-13 05:35:57.485,-3,-1.0,-3,-1.0,-1.0
2925837,2024-02-13 05:35:54.350,-3,-1.0,-3,-1.0,-1.0
2925838,2024-02-13 05:36:09.661,2,953687751.0,74,323451472.3333333,0.6990430622009569
2925839,2024-02-13 05:36:09.672,-3,426275198.0,139,60896456.85714286,1.5939837905236909
2925840,2024-02-13 05:36:15.836,-3,-1.0,-3,-1.0,-1.0
2925841,2024-02-13 05:36:09.672,-3,426275198.0,139,60896456.85714286,1.5939837905236909
2925842,2024-02-13 05:36:09.661,2,953687751.0,74,323451472.3333333,0.6990430622009569
2925843,2024-02-13 05:36:28.514,-3,-1.0,-3,-1.0,-1.0
2925844,2024-02-13 05:36:38.904,1,1148778676.0,54,287194669.0,0.8023064250411861
2925845,2024-02-13 05:36:43.615,2,953687751.0,74,323451472.3333333,0.6990430622009569
2925846,2024-02-13 05:36:44.307,-3,-1.0,-3,-1.0,-1.0
2925847,2024-02-13 05:36:38.904,1,1148778676.0,54,287194669.0,0.8023064250411861
2925848,2024-02-13 05:36:43.615,2,953687751.0,74,323451472.3333333,0.6990430622009569
2925849,2024-02-13 05:36:56.341,-3,-1.0,-3,-1.0,-1.0
2925850,2024-02-13 05:36:59.058,-3,-1.0,-3,-1.0,-1.0
2925851,2024-02-13 05:37:08.694,1,1148778676.0,54,287194669.0,0.8023064250411861
2925852,2024-02-13 05:37:11.494,-3,-1.0,-3,-1.0,-1.0
2925853,2024-02-13 05:37:08.694,1,1148778676.0,54,287194669.0,0.8023064250411861
2925854,2024-02-13 05:37:40.622,1,250000000.0,84,125000000.0,0.6185436071126165
2925855,2024-02-13 05:37:43.505,-3,-1.0,-3,-1.0,-1.0
2925856,2024-02-13 05:37:40.622,1,250000000.0,84,125000000.0,0.6185436071126165
2925857,2024-02-13 05:37:54.784,-3,-1.0,-3,-1.0,-1.0
2925858,2024-02-13 05:38:18.602,1,250000000.0,84,125000000.0,0.6185436071126165
2925859,2024-02-13 05:38:20.648,-3,-1.0,-3,-1.0,-1.0
2925860,2024-02-13 05:38:18.602,1,250000000.0,84,125000000.0,0.6185436071126165
2925861,2024-02-13 05:39:08.634,-3,-1.0,-3,-1.0,-1.0
2925862,2024-02-13 05:39:25.970,-3,-1.0,-3,-1.0,-1.0
2925863,2024-02-13 05:39:40.072,-3,-1.0,-3,-1.0,-1.0
2925864,2024-02-13 05:39:44.543,-3,-1.0,-3,-1.0,-1.0
2925865,2024-02-13 05:39:47.195,-3,-1.0,-3,-1.0,-1.0
2925866,2024-02-13 05:39:47.208,-3,-1.0,-3,-1.0,-1.0
2925867,2024-02-13 05:39:40.072,-3,-1.0,-3,-1.0,-1.0
2925868,2024-02-13 05:39:56.679,-3,-1.0,-3,-1.0,-1.0
2925869,2024-02-13 05:39:57.399,-3,32700000000.0,13,3633333333.3333335,1.9719556088782242
2925870,2024-02-13 05:40:07.629,-3,-1.0,-3,-1.0,-1.0
2925871,2024-02-13 05:40:12.294,-3,-1.0,-3,-1.0,-1.0
2925872,2024-02-13 05:39:57.399,-3,32700000000.0,13,3633333333.3333335,1.9719556088782242
2925873,2024-02-13 05:40:20.702,-3,-1.0,-3,-1.0,-1.0
2925874,2024-02-13 05:40:28.526,-3,-3.0,370,0.0,0.5014874141876431
2925875,2024-02-13 05:40:30.287,2,-3.0,1,0.0,3.752568493150685
2925876,2024-02-13 05:40:30.312,-3,-3.0,187,103200000.0,2.148529411764706
2925877,2024-02-13 05:40:20.702,-3,-1.0,-3,-1.0,-1.0
2925878,2024-02-13 05:40:36.478,-3,-1.0,-3,-1.0,-1.0
2925879,2024-02-13 05:40:28.526,-3,-3.0,370,0.0,0.5014874141876431
2925880,2024-02-13 05:40:43.713,-3,-1.0,-3,-1.0,-1.0
2925881,2024-02-13 05:40:30.287,2,-3.0,1,0.0,3.752568493150685
2925882,2024-02-13 05:40:30.312,-3,-3.0,187,103200000.0,2.148529411764706
2925883,2024-02-13 05:40:47.751,-3,-1.0,-3,-1.0,-1.0
2925884,2024-02-13 05:40:47.865,-3,-1.0,-3,-1.0,-1.0
2925885,2024-02-13 05:40:50.022,-3,-1.0,-3,-1.0,-1.0
2925886,2024-02-13 05:40:57.528,-3,-1.0,-3,-1.0,-1.0
2925887,2024-02-13 05:40:58.650,2,-3.0,1,0.0,3.752568493150685
2925888,2024-02-13 05:40:43.713,-3,-1.0,-3,-1.0,-1.0
2925889,2024-02-13 05:41:00.652,-3,-1.0,-3,-1.0,-1.0
2925890,2024-02-13 05:40:58.650,2,-3.0,1,0.0,3.752568493150685
2925891,2024-02-13 05:41:19.831,-3,-1.0,-3,-1.0,-1.0
2925892,2024-02-13 05:41:25.260,-3,-1.0,-3,-1.0,-1.0
2925893,2024-02-13 05:41:30.521,6,-3.0,4,22777777.777777776,5.595319148936171
2925894,2024-02-13 05:41:25.260,-3,-1.0,-3,-1.0,-1.0
2925895,2024-02-13 05:41:37.195,-3,-1.0,-3,-1.0,-1.0
2925896,2024-02-13 05:41:39.703,-3,-1.0,-3,-1.0,-1.0
2925897,2024-02-13 05:41:30.521,6,-3.0,4,22777777.777777776,5.595319148936171
2925898,2024-02-13 05:41:55.775,-3,-1.0,-3,-1.0,-1.0
2925899,2024-02-13 05:42:00.520,3,-3.0,-3,137000000.0,0.6636886735311932
2925900,2024-02-13 05:42:01.215,-3,1483485809.0,294,296697161.8,1.023682735426009
2925901,2024-02-13 05:42:07.558,6,-3.0,4,22777777.777777776,5.595319148936171
2925902,2024-02-13 05:42:00.520,3,-3.0,-3,137000000.0,0.6636886735311932
2925903,2024-02-13 05:42:07.558,6,-3.0,4,22777777.777777776,5.595319148936171
2925904,2024-02-13 05:42:01.215,-3,1483485809.0,294,296697161.8,1.023682735426009
2925905,2024-02-13 05:42:30.262,-3,-1.0,-3,-1.0,-1.0
2925906,2024-02-13 05:42:33.202,-3,-1.0,-3,-1.0,-1.0
2925907,2024-02-13 05:43:04.731,1,-3.0,1330,0.0,2.087142857142857
2925908,2024-02-13 05:43:12.550,-3,-1.0,-3,-1.0,-1.0
2925909,2024-02-13 05:43:21.082,-3,-1.0,-3,-1.0,-1.0
2925910,2024-02-13 05:43:21.324,-3,-1.0,-3,-1.0,-1.0
2925911,2024-02-13 05:43:04.731,1,-3.0,1330,0.0,2.087142857142857
2925912,2024-02-13 05:43:22.748,-3,-1.0,-3,-1.0,-1.0
2925913,2024-02-13 05:43:24.233,-3,-1.0,-3,-1.0,-1.0
2925914,2024-02-13 05:43:29.909,-3,-1.0,-3,-1.0,-1.0
2925915,2024-02-13 05:43:32.060,-3,-1.0,-3,-1.0,-1.0
2925916,2024-02-13 05:43:35.211,-3,-1.0,-3,-1.0,-1.0
2925917,2024-02-13 05:43:41.556,1,-3.0,1330,0.0,2.087142857142857
2925918,2024-02-13 05:43:44.564,-3,-1.0,-3,-1.0,-1.0
2925919,2024-02-13 05:43:52.547,1,-3.0,122,0.0,-3.0
2925920,2024-02-13 05:43:54.079,-3,-1.0,-3,-1.0,-1.0
2925921,2024-02-13 05:43:41.556,1,-3.0,1330,0.0,2.087142857142857
2925922,2024-02-13 05:43:59.149,-3,-1.0,-3,-1.0,-1.0
2925923,2024-02-13 05:43:59.364,-3,-1.0,-3,-1.0,-1.0
2925924,2024-02-13 05:44:06.645,-3,-3.0,1357,0.0,10.58695652173913
2925925,2024-02-13 05:43:52.547,1,-3.0,122,0.0,-3.0
2925926,2024-02-13 05:43:54.079,-3,-1.0,-3,-1.0,-1.0
2925927,2024-02-13 05:44:09.923,-3,-1.0,-3,-1.0,-1.0
2925928,2024-02-13 05:44:11.658,-3,3281945205.0,151,3281945205.0,-3.0
2925929,2024-02-13 05:44:12.764,-3,-3.0,195,50400000.0,0.6697738386308068
